Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0,enjoying a beautiful day at the park!,positive,15-01-2023 12:30,user123,twitter,#nature #park,15,30,usa,2023,1,15,12
1,1,traffic was terrible this morning.,negative,15-01-2023 08:45,commuterx,twitter,#traffic #morning,5,10,canada,2023,1,15,8
2,2,just finished an amazing workout! 💪,positive,15-01-2023 15:45,fitnessfan,instagram,#fitness #workout,20,40,usa,2023,1,15,15
3,3,excited about the upcoming weekend getaway!,positive,15-01-2023 18:20,adventurex,facebook,#travel #adventure,8,15,uk,2023,1,15,18
4,4,trying out a new recipe for dinner tonight.,neutral,15-01-2023 19:55,chefcook,instagram,#cooking #food,12,25,australia,2023,1,15,19
5,5,feeling grateful for the little things in life.,positive,16-01-2023 09:10,gratitudenow,twitter,#gratitude #positivevibes,25,50,india,2023,1,16,9
6,6,rainy days call for cozy blankets and hot cocoa.,positive,16-01-2023 14:45,rainydays,facebook,#rainydays #cozy,10,20,canada,2023,1,16,14
7,7,the new movie release is a must-watch!,positive,16-01-2023 19:30,moviebuff,instagram,#movienight #mustwatch,15,30,usa,2023,1,16,19
8,8,political discussions heating up on the timeline.,negative,17-01-2023 08:00,debatetalk,twitter,#politics #debate,30,60,usa,2023,1,17,8
9,9,missing summer vibes and beach days.,neutral,17-01-2023 12:20,beachlover,facebook,#summer #beachdays,18,35,australia,2023,1,17,12
10,10,just published a new blog post. check it out!,positive,17-01-2023 15:15,bloggerx,instagram,#blogging #newpost,22,45,usa,2023,1,17,15
11,11,feeling a bit under the weather today.,negative,18-01-2023 10:30,wellnesscheck,twitter,#sickday #health,7,15,canada,2023,1,18,10
12,12,exploring the city's hidden gems.,positive,18-01-2023 14:50,urbanexplorer,facebook,#cityexplore #hiddengems,12,25,uk,2023,1,18,14
13,13,"new year, new fitness goals! 💪",positive,18-01-2023 18:00,fitjourney,instagram,#newyear #fitnessgoals,28,55,usa,2023,1,18,18
14,14,technology is changing the way we live.,neutral,19-01-2023 09:45,techenthusiast,twitter,#tech #innovation,15,30,india,2023,1,19,9
15,15,reflecting on the past and looking ahead.,positive,19-01-2023 13:20,reflections,facebook,#reflection #future,20,40,usa,2023,1,19,13
16,16,just adopted a cute furry friend! 🐾,positive,19-01-2023 17:10,petadopter,instagram,#petadoption #furryfriend,15,30,canada,2023,1,19,17
17,17,late-night gaming session with friends.,positive,20-01-2023 00:05,gamerx,twitter,#gaming #latenight,18,35,uk,2023,1,20,0
18,18,attending a virtual conference on ai.,neutral,20-01-2023 11:30,techconference,facebook,#ai #techconference,25,50,usa,2023,1,20,11
19,19,winter blues got me feeling low.,negative,20-01-2023 15:15,winterblues,instagram,#winterblues #mood,8,15,usa,2023,1,20,15
20,20,sipping coffee and enjoying a good book.,positive,21-01-2023 08:40,bookworm,twitter,#reading #coffeetime,22,45,india,2023,1,21,8
21,21,exploring the world of virtual reality.,positive,21-01-2023 13:20,vrexplorer,facebook,#vr #virtualreality,15,30,usa,2023,1,21,13
22,22,productive day ticking off my to-do list.,positive,21-01-2023 16:45,productivitypro,instagram,#productivity #workfromhome,30,60,usa,2023,1,21,16
23,23,just finished a challenging workout routine.,positive,22-01-2023 09:15,fitnesswarrior,twitter,#fitness #challengeaccepted,20,40,uk,2023,1,22,9
24,24,celebrating a milestone at work! 🎉,positive,22-01-2023 14:30,careermilestone,facebook,#career #milestone,12,25,canada,2023,1,22,14
25,25,sunday brunch with friends.,positive,22-01-2023 12:00,brunchbuddy,instagram,#brunch #friends,15,30,uk,2023,1,22,12
27,28,learning a new language for personal growth.,positive,23-01-2023 16:20,languagelearner,facebook,#languagelearning #personalgrowth,25,50,india,2023,1,23,16
28,29,quiet evening with a good book.,positive,23-01-2023 19:45,booklover,instagram,#reading #quiettime,15,30,australia,2023,1,23,19
29,30,reflecting on the importance of mental health.,positive,24-01-2023 11:30,mentalhealthmatters,twitter,#mentalhealth #selfcare,22,45,usa,2023,1,24,11
30,31,new painting in progress! 🎨,positive,24-01-2023 15:00,artistinaction,facebook,#art #paintinginprogress,12,25,canada,2023,1,24,15
31,32,weekend road trip to explore scenic views.,positive,24-01-2023 17:30,roadtripper,instagram,#roadtrip #scenicviews,18,35,uk,2023,1,24,17
32,33,enjoying a cup of tea and watching the sunset.,positive,25-01-2023 18:00,sunsetwatcher,twitter,#teatime #sunset,15,30,india,2023,1,25,18
33,34,coding a new project with enthusiasm.,positive,25-01-2023 13:15,codeenthusiast,facebook,#coding #enthusiasm,30,60,usa,2023,1,25,13
34,35,feeling inspired after attending a workshop.,positive,26-01-2023 09:45,workshopattendee,instagram,#inspiration #workshop,25,50,usa,2023,1,26,9
35,36,winter sports day at the local park.,positive,26-01-2023 14:20,wintersports,twitter,#wintersports #fun,15,30,canada,2023,1,26,14
36,37,quality time with family this weekend.,positive,26-01-2023 17:40,familytime,facebook,#familytime #weekend,22,45,uk,2023,1,26,17
37,38,attending a live music concert tonight.,positive,27-01-2023 20:00,musiclover,instagram,#music #concertnight,18,35,usa,2023,1,27,20
38,39,practicing mindfulness with meditation.,positive,27-01-2023 12:30,mindfulmoments,twitter,#mindfulness #meditation,15,30,india,2023,1,27,12
39,40,trying out a new dessert recipe.,positive,27-01-2023 16:10,dessertexplorer,facebook,#dessert #cooking,12,25,canada,2023,1,27,16
40,41,excited about the upcoming gaming tournament.,positive,28-01-2023 09:00,gamingenthusiast,instagram,#gaming #tournament,30,60,usa,2023,1,28,9
41,42,planning a garden makeover for spring.,positive,28-01-2023 14:45,gardenplanner,twitter,#gardening #spring,25,50,usa,2023,1,28,14
42,43,celebrating a friend's birthday tonight! 🎂,positive,28-01-2023 19:30,birthdaybash,facebook,#birthday #celebration,15,30,uk,2023,1,28,19
43,44,feeling accomplished after a productive day.,positive,29-01-2023 17:00,productivitywin,instagram,#accomplished #success,22,45,india,2023,1,29,17
44,45,a cozy evening with a good movie.,positive,29-01-2023 20:20,movienight,twitter,#cozynight #movietime,18,35,canada,2023,1,29,20
45,46,exploring local art galleries this weekend.,positive,30-01-2023 11:30,artexplorer,facebook,#art #galleryexplore,15,30,usa,2023,1,30,11
46,47,new book release from my favorite author!,positive,30-01-2023 15:45,bookwormx,instagram,#bookrelease #favoriteauthor,12,25,uk,2023,1,30,15
47,48,attending a virtual reality meetup.,positive,30-01-2023 18:30,vrmeetup,twitter,#vrmeetup #virtualreality,28,55,india,2023,1,30,18
48,49,reflecting on the beauty of nature.,positive,31-01-2023 10:45,naturelover,facebook,#nature #reflection,15,30,australia,2023,1,31,10
49,50,cooking a special dinner for loved ones.,positive,31-01-2023 19:00,chefathome,instagram,#cooking #specialdinner,20,40,usa,2023,1,31,19
50,51,feeling optimistic about the week ahead.,positive,31-01-2023 16:20,optimisticmindset,twitter,#optimism #newweek,15,30,canada,2023,1,31,16
